id,report_type,generated_at,title,summary,key_findings,recommendations,risk_assessment,data_period_start,data_period_end,confidence_score,created_at
1,daily,2025-06-28 05:43:47.158212,Bitcoin Daily Analysis - 2025-06-28,"Bitcoin在过去24小时内交易于$107,327.00-$107,327.00区间，平均价格$107,327.00，日内波动率0.0%。网络算力维持在904.9 EH/s水平。","{'price_range': '$107,327.00 - $107,327.00', 'avg_price': '$107,327.00', 'avg_hashrate': '904.89 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '数据不足'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-27 05:43:47.158294,2025-06-28 05:43:47.158299,0.85,2025-06-28 05:43:47.286769
2,daily,2025-06-28 05:44:23.954670,Bitcoin Daily Analysis - 2025-06-28,"Bitcoin在过去24小时内交易于$107,315.00-$107,327.00区间，平均价格$107,321.00，日内波动率0.0%。网络算力维持在904.9 EH/s水平。","{'price_range': '$107,315.00 - $107,327.00', 'avg_price': '$107,321.00', 'avg_hashrate': '904.89 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '数据不足'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-27 05:44:23.954775,2025-06-28 05:44:23.954784,0.85,2025-06-28 05:44:24.087556
3,daily,2025-06-29 00:00:11.955948,Bitcoin Daily Analysis - 2025-06-29,"Bitcoin在过去24小时内交易于$107,226.00-$107,451.00区间，平均价格$107,327.89，日内波动率0.2%。网络算力维持在856.6 EH/s水平。","{'price_range': '$107,226.00 - $107,451.00', 'avg_price': '$107,327.89', 'avg_hashrate': '856.60 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '数据不足'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-28 00:00:11.956053,2025-06-29 00:00:11.956060,0.85,2025-06-29 00:00:14.296750
4,daily,2025-06-30 00:00:15.956792,Bitcoin Daily Analysis - 2025-06-30,"Bitcoin在过去24小时内交易于$107,247.00-$108,376.00区间，平均价格$107,875.58，日内波动率1.0%。网络算力维持在852.3 EH/s水平。","{'price_range': '$107,247.00 - $108,376.00', 'avg_price': '$107,875.58', 'avg_hashrate': '852.30 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '数据不足'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-29 00:00:15.956899,2025-06-30 00:00:15.956906,0.85,2025-06-30 00:00:16.461223
5,daily,2025-06-30 00:00:47.489297,Bitcoin Daily Analysis - 2025-06-30,"Bitcoin在过去24小时内交易于$107,247.00-$108,376.00区间，平均价格$107,875.58，日内波动率1.0%。网络算力维持在852.3 EH/s水平。","{'price_range': '$107,247.00 - $108,376.00', 'avg_price': '$107,875.58', 'avg_hashrate': '852.30 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '数据不足'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-29 00:00:47.489421,2025-06-30 00:00:47.489429,0.85,2025-06-30 00:00:47.631044
6,daily,2025-06-30 21:34:39.337576,Bitcoin Daily Analysis - 2025-06-30,"Bitcoin在过去24小时内交易于$106,837.00-$108,773.00区间，平均价格$108,131.73，日内波动率1.8%。网络算力维持在903.4 EH/s水平。技术指标处于中性区间。","{'price_range': '$106,837.00 - $108,773.00', 'avg_price': '$108,131.73', 'avg_hashrate': '903.43 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-29 21:34:39.337781,2025-06-30 21:34:39.337788,0.85,2025-06-30 21:34:39.485684
7,daily,2025-07-01 00:00:46.086995,Bitcoin Daily Analysis - 2025-07-01,"Bitcoin在过去24小时内交易于$106,837.00-$108,773.00区间，平均价格$107,901.26，日内波动率1.8%。网络算力维持在878.6 EH/s水平。技术指标处于中性区间。","{'price_range': '$106,837.00 - $108,773.00', 'avg_price': '$107,901.26', 'avg_hashrate': '878.62 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-30 00:00:46.087093,2025-07-01 00:00:46.087099,0.85,2025-07-01 00:00:46.331373
8,daily,2025-07-02 00:00:24.185095,Bitcoin Daily Analysis - 2025-07-02,"Bitcoin在过去24小时内交易于$105,490.00-$107,461.00区间，平均价格$106,510.95，日内波动率1.9%。网络算力维持在755.2 EH/s水平。技术指标处于中性区间。","{'price_range': '$105,490.00 - $107,461.00', 'avg_price': '$106,510.95', 'avg_hashrate': '755.20 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}",['低波动环境，适合长期持有策略'],"{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-01 00:00:24.185193,2025-07-02 00:00:24.185199,0.85,2025-07-02 00:00:24.505096
9,daily,2025-07-03 00:00:02.910107,Bitcoin Daily Analysis - 2025-07-02,"Bitcoin在过去24小时内交易于$105,440.00-$109,502.00区间，平均价格$106,932.56，日内波动率3.8%。网络算力维持在772.6 EH/s水平。技术指标显示超买状态。","{'price_range': '$105,440.00 - $109,502.00', 'avg_price': '$106,932.56', 'avg_hashrate': '772.62 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '超买 - 考虑卖出'}",['RSI超买，谨慎追涨'],"{'risk_score': 50, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-02 00:00:02.910107,2025-07-03 00:00:02.910107,0.85,2025-07-03 00:00:03.302590
10,daily,2025-07-03 00:00:23.278205,Bitcoin Daily Analysis - 2025-07-02,"Bitcoin在过去24小时内交易于$105,440.00-$109,502.00区间，平均价格$106,932.56，日内波动率3.8%。网络算力维持在772.6 EH/s水平。技术指标显示超买状态。","{'price_range': '$105,440.00 - $109,502.00', 'avg_price': '$106,932.56', 'avg_hashrate': '772.62 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '超买 - 考虑卖出'}",['RSI超买，谨慎追涨'],"{'risk_score': 50, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-02 00:00:23.278205,2025-07-03 00:00:23.278205,0.85,2025-07-03 00:00:23.445603
11,daily,2025-07-04 00:00:18.806848,Bitcoin Daily Analysis - 2025-07-03,"Bitcoin在过去24小时内交易于$108,637.00-$110,378.00区间，平均价格$109,375.69，日内波动率1.6%。网络算力维持在903.5 EH/s水平。技术指标显示超卖状态。","{'price_range': '$108,637.00 - $110,378.00', 'avg_price': '$109,375.69', 'avg_hashrate': '903.55 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '超卖 - 考虑买入'}","['低波动环境，适合长期持有策略', 'RSI超卖，可考虑逢低买入', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-03 00:00:18.806848,2025-07-04 00:00:18.806848,0.85,2025-07-04 00:00:19.635766
12,daily,2025-07-04 00:00:40.754686,Bitcoin Daily Analysis - 2025-07-03,"Bitcoin在过去24小时内交易于$108,637.00-$110,378.00区间，平均价格$109,377.63，日内波动率1.6%。网络算力维持在903.2 EH/s水平。技术指标显示超卖状态。","{'price_range': '$108,637.00 - $110,378.00', 'avg_price': '$109,377.63', 'avg_hashrate': '903.17 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '超卖 - 考虑买入'}","['低波动环境，适合长期持有策略', 'RSI超卖，可考虑逢低买入', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-03 00:00:40.754686,2025-07-04 00:00:40.754686,0.85,2025-07-04 00:00:40.896278
13,daily,2025-07-04 00:00:44.258731,Bitcoin Daily Analysis - 2025-07-03,"Bitcoin在过去24小时内交易于$108,637.00-$110,378.00区间，平均价格$109,379.53，日内波动率1.6%。网络算力维持在902.8 EH/s水平。技术指标显示超卖状态。","{'price_range': '$108,637.00 - $110,378.00', 'avg_price': '$109,379.53', 'avg_hashrate': '902.81 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '超卖 - 考虑买入'}","['低波动环境，适合长期持有策略', 'RSI超卖，可考虑逢低买入', '网络算力强劲，网络安全性高']","{'risk_score': 60, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-03 00:00:44.258731,2025-07-04 00:00:44.258731,0.85,2025-07-04 00:00:44.403496
14,daily,2025-07-05 00:00:43.520406,Bitcoin Daily Analysis - 2025-07-04,"Bitcoin在过去24小时内交易于$107,401.00-$109,660.00区间，平均价格$108,739.60，日内波动率2.1%。网络算力维持在828.7 EH/s水平。技术指标处于中性区间。","{'price_range': '$107,401.00 - $109,660.00', 'avg_price': '$108,739.60', 'avg_hashrate': '828.69 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}",['网络算力强劲，网络安全性高'],"{'risk_score': 50, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-04 00:00:43.520406,2025-07-05 00:00:43.520406,0.85,2025-07-05 00:00:43.821832
15,daily,2025-07-06 00:00:29.705625,Bitcoin Daily Analysis - 2025-07-05,"Bitcoin在过去24小时内交易于$107,860.00-$108,243.00区间，平均价格$108,107.28，日内波动率0.4%。网络算力维持在923.4 EH/s水平。技术指标显示超买状态。","{'price_range': '$107,860.00 - $108,243.00', 'avg_price': '$108,107.28', 'avg_hashrate': '923.36 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '超买 - 考虑卖出'}","['低波动环境，适合长期持有策略', 'RSI超买，谨慎追涨', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-05 00:00:29.705625,2025-07-06 00:00:29.705625,0.85,2025-07-06 00:00:30.070715
16,daily,2025-07-07 00:00:33.901238,Bitcoin Daily Analysis - 2025-07-06,"Bitcoin在过去24小时内交易于$107,876.00-$109,480.00区间，平均价格$108,476.19，日内波动率1.5%。网络算力维持在875.7 EH/s水平。技术指标处于中性区间。","{'price_range': '$107,876.00 - $109,480.00', 'avg_price': '$108,476.19', 'avg_hashrate': '875.73 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-06 00:00:33.901238,2025-07-07 00:00:33.901238,0.85,2025-07-07 00:00:34.052474
17,daily,2025-07-07 00:00:53.580177,Bitcoin Daily Analysis - 2025-07-06,"Bitcoin在过去24小时内交易于$107,876.00-$109,480.00区间，平均价格$108,484.15，日内波动率1.5%。网络算力维持在875.9 EH/s水平。技术指标处于中性区间。","{'price_range': '$107,876.00 - $109,480.00', 'avg_price': '$108,484.15', 'avg_hashrate': '875.88 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-06 00:00:53.580177,2025-07-07 00:00:53.580177,0.85,2025-07-07 00:00:53.959393
18,daily,2025-07-08 00:00:39.074055,Bitcoin Daily Analysis - 2025-07-07,"Bitcoin在过去24小时内交易于$107,837.00-$109,527.00区间，平均价格$108,764.01，日内波动率1.6%。网络算力维持在894.7 EH/s水平。技术指标处于中性区间。","{'price_range': '$107,837.00 - $109,527.00', 'avg_price': '$108,764.01', 'avg_hashrate': '894.67 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-07 00:00:39.074055,2025-07-08 00:00:39.074055,0.85,2025-07-08 00:00:39.385508
19,daily,2025-07-10 00:00:16.051485,Bitcoin Daily Analysis - 2025-07-09,"Bitcoin在过去24小时内交易于$108,376.00-$111,745.00区间，平均价格$109,538.23，日内波动率3.1%。网络算力维持在864.2 EH/s水平。技术指标处于中性区间。","{'price_range': '$108,376.00 - $111,745.00', 'avg_price': '$109,538.23', 'avg_hashrate': '864.24 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}",['网络算力强劲，网络安全性高'],"{'risk_score': 50, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-09 00:00:16.051485,2025-07-10 00:00:16.051485,0.85,2025-07-10 00:00:16.492814
20,daily,2025-07-11 00:00:11.134985,Bitcoin Daily Analysis - 2025-07-10,"Bitcoin在过去24小时内交易于$110,860.00-$116,477.00区间，平均价格$112,023.48，日内波动率5.0%。网络算力维持在902.6 EH/s水平。技术指标显示超买状态。","{'price_range': '$110,860.00 - $116,477.00', 'avg_price': '$112,023.48', 'avg_hashrate': '902.61 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '超买 - 考虑卖出'}","['高波动环境，建议分批建仓降低风险', 'RSI超买，谨慎追涨', '网络算力强劲，网络安全性高']","{'risk_score': 65, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-10 00:00:11.134985,2025-07-11 00:00:11.134985,0.85,2025-07-11 00:00:11.438943
21,daily,2025-07-12 00:00:48.022664,Bitcoin Daily Analysis - 2025-07-11,"Bitcoin在过去24小时内交易于$115,554.00-$118,609.00区间，平均价格$117,488.85，日内波动率2.6%。网络算力维持在908.2 EH/s水平。技术指标处于中性区间。","{'price_range': '$115,554.00 - $118,609.00', 'avg_price': '$117,488.85', 'avg_hashrate': '908.19 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}",['网络算力强劲，网络安全性高'],"{'risk_score': 50, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-11 00:00:48.022664,2025-07-12 00:00:48.022664,0.85,2025-07-12 00:00:48.421135
22,daily,2025-07-13 00:01:40.349660,Bitcoin Daily Analysis - 2025-07-12,"Bitcoin在过去24小时内交易于$117,188.00-$118,171.00区间，平均价格$117,595.65，日内波动率0.8%。网络算力维持在902.8 EH/s水平。技术指标处于中性区间。","{'price_range': '$117,188.00 - $118,171.00', 'avg_price': '$117,595.65', 'avg_hashrate': '902.79 EH/s', 'market_sentiment': '极度贪婪', 'rsi_signal': '中性 - 保持观望'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-12 00:01:40.349660,2025-07-13 00:01:40.349660,0.85,2025-07-13 00:01:40.549984
23,daily,2025-07-17 00:00:58.775275,Bitcoin Daily Analysis - 2025-07-16,"Bitcoin在过去24小时内交易于$117,147.00-$119,954.00区间，平均价格$118,071.71，日内波动率2.4%。网络算力维持在931.8 EH/s水平。技术指标处于中性区间。","{'price_range': '$117,147.00 - $119,954.00', 'avg_price': '$118,071.71', 'avg_hashrate': '931.82 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}",['网络算力强劲，网络安全性高'],"{'risk_score': 50, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-16 00:00:58.775275,2025-07-17 00:00:58.775275,0.85,2025-07-17 00:00:59.126546
24,daily,2025-07-18 00:00:15.177279,Bitcoin Daily Analysis - 2025-07-17,"Bitcoin在过去24小时内交易于$117,727.00-$120,639.00区间，平均价格$118,786.88，日内波动率2.5%。网络算力维持在769.0 EH/s水平。技术指标处于中性区间。","{'price_range': '$117,727.00 - $120,639.00', 'avg_price': '$118,786.88', 'avg_hashrate': '769.03 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}",[],"{'risk_score': 50, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-17 00:00:15.177279,2025-07-18 00:00:15.177279,0.85,2025-07-18 00:00:15.558755
25,daily,2025-07-20 00:00:05.251305,Bitcoin Daily Analysis - 2025-07-19,"Bitcoin在过去24小时内交易于$117,539.00-$118,089.00区间，平均价格$117,872.59，日内波动率0.5%。网络算力维持在856.6 EH/s水平。技术指标处于中性区间。","{'price_range': '$117,539.00 - $118,089.00', 'avg_price': '$117,872.59', 'avg_hashrate': '856.62 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-19 00:00:05.251305,2025-07-20 00:00:05.251305,0.85,2025-07-20 00:00:05.569687
26,daily,2025-07-22 00:00:08.445866,Bitcoin Daily Analysis - 2025-07-21,"Bitcoin在过去24小时内交易于$116,792.00-$119,473.00区间，平均价格$118,144.58，日内波动率2.3%。网络算力维持在902.1 EH/s水平。技术指标处于中性区间。","{'price_range': '$116,792.00 - $119,473.00', 'avg_price': '$118,144.58', 'avg_hashrate': '902.06 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}",['网络算力强劲，网络安全性高'],"{'risk_score': 50, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-21 00:00:08.445866,2025-07-22 00:00:08.445866,0.85,2025-07-22 00:00:09.103795
27,daily,2025-07-25 00:01:00.322619,Bitcoin Daily Analysis - 2025-07-24,"Bitcoin在过去24小时内交易于$117,702.00-$119,340.00区间，平均价格$118,726.65，日内波动率1.4%。网络算力维持在859.0 EH/s水平。技术指标处于中性区间。","{'price_range': '$117,702.00 - $119,340.00', 'avg_price': '$118,726.65', 'avg_hashrate': '858.99 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-24 00:01:00.322619,2025-07-25 00:01:00.322619,0.85,2025-07-25 00:01:00.659280
28,daily,2025-07-27 00:00:39.565892,Bitcoin Daily Analysis - 2025-07-26,"Bitcoin在过去24小时内交易于$117,343.00-$118,199.00区间，平均价格$117,759.76，日内波动率0.7%。网络算力维持在954.3 EH/s水平。技术指标处于中性区间。","{'price_range': '$117,343.00 - $118,199.00', 'avg_price': '$117,759.76', 'avg_hashrate': '954.31 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-26 00:00:39.565892,2025-07-27 00:00:39.565892,0.85,2025-07-27 00:00:40.052506
29,daily,2025-07-29 00:01:10.012190,Bitcoin Daily Analysis - 2025-07-28,"Bitcoin在过去24小时内交易于$117,682.00-$119,590.00区间，平均价格$118,621.53，日内波动率1.6%。网络算力维持在915.0 EH/s水平。技术指标处于中性区间。","{'price_range': '$117,682.00 - $119,590.00', 'avg_price': '$118,621.53', 'avg_hashrate': '915.02 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-28 00:01:10.012190,2025-07-29 00:01:10.012190,0.85,2025-07-29 00:01:10.586414
30,daily,2025-07-30 00:00:16.386326,Bitcoin Daily Analysis - 2025-07-29,"Bitcoin在过去24小时内交易于$117,178.00-$118,973.00区间，平均价格$118,244.35，日内波动率1.5%。网络算力维持在715.4 EH/s水平。技术指标处于中性区间。","{'price_range': '$117,178.00 - $118,973.00', 'avg_price': '$118,244.35', 'avg_hashrate': '715.43 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}",['低波动环境，适合长期持有策略'],"{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-29 00:00:16.386326,2025-07-30 00:00:16.386326,0.85,2025-07-30 00:00:16.698337
